Industry group,Emission,Innovation,Resource use,Human rights,Product responsibility,Workforce,Community,Management,Shareholders,CSR strategy,ESG scores,Controversy scores,Combined scores
Water and related utilities,0.15,0.13,0.15,0.05,0.04,0.13,0.09,0.17,0.05,0.03,,,
ABC,0.66,0,0.44,0.05,0.58,0.89,0.34,0.99,0.84,0.56,0.571146184,1,0.571146184
CBD,0.71,0.96,0.38,0,0.69,0.66,0.7,0.37,0.01,0.56,0.547913483,1,0.547913483
DEF,0.03,0,0,0,0,0.57,0.11,0.21,0.14,0.54,0.150536652,1,0.150536652
EFG,0,0.31,0.03,0,0,0.25,0.59,0.89,0.94,0,0.327824384,1,0.327824384
EMJ,0.87,0.31,0.68,0.2,0.86,0.84,0.98,0.33,0.87,0.68,0.639400132,0.25,0.444700066
EMQ,0,0,0,0,0,0.3,0.02,0.88,0.08,0.01,0.194782046,1,0.194782046
ENR,0.92,0.81,0.85,0.75,0.97,0.93,0.66,0.4,0.49,0.86,0.756319427,1,0.756319427
GPQ,0.24,0.31,0,0,0.17,0.02,0.16,0.56,0.56,0,0.223443757,1,0.223443757
HIJ,0.61,0.31,0.5,0.65,0.42,0.8,0.8,0.48,0.27,0.37,0.54145808,1,0.54145808
IBD,0,0,0,0,0,0.07,0.3,0.51,0.49,0,0.145398367,1,0.145398367
JKL,0.5,0.73,0.74,0,0.78,0.43,0.93,0.62,0.89,0.26,0.611504799,1,0.611504799
LMN,0.76,0.31,0.56,0,0.47,0.48,0.48,0.17,0.24,0.26,0.415151441,0.75,0.415151441
MNO,0.82,0.31,0.91,0.4,0.58,0.61,0.07,0.33,0.52,0.63,0.539888776,1,0.539888776
MSE,0.55,0,0.62,0.85,0.17,0.75,0.84,0.77,0.35,0.91,0.581805891,1,0.581805891
OPQ,0.29,0,0.32,0,0.17,0.16,0.48,0.15,0.42,0.08,0.212906948,1,0.212906948
PQR,0.45,0.65,0.79,0.55,0.78,0.52,0.75,0.76,0.76,0.16,0.640379494,1,0.640379494
PSF,0.97,0.88,0.97,0.95,0.92,0.98,0.89,0.15,0.73,0.34,0.776142465,1,0.776142465
RST,0.08,0.31,0,0,0.17,0.2,0.59,0.42,0.42,0,0.228111754,1,0.228111754
UVW,0.34,0,0.26,0.2,0.58,0.7,0.39,0.26,0.16,0.31,0.316400123,1,0.316400123
VPF,0.16,0.31,0.15,0,0.17,0.11,0.25,0.88,0.9,0,0.325828115,1,0.325828115
XYZ,0.39,0,0.21,0.4,0.17,0.39,0.48,0.95,0.73,0.51,0.429105164,1,0.429105164
YQM,0.16,0,0.09,0,0.36,0.34,0.2,0.69,0.34,0,0.25005416,1,0.25005416
